Unnamed: 0,text,intent
727,extract the heart of this voice message,voice_summary
728,i want to know what this is all about,voice_summary
729,give a condensed interpretation,voice_summary
730,in just one or two sentences what is this,voice_summary
731,whats the conclusion from this audio,voice_summary
732,tell me the wrapup of this voice note,voice_summary
733,simplify the message into a quick point,voice_summary
734,need a bitesized summary of the clip,voice_summary
735,give me the takeaway of this voice note,voice_summary
736,what can i learn from this voice message,voice_summary
737,translate this voice to a single thought,voice_summary
738,give me the voice summary like a caption,voice_summary
739,tell me the gist of the audio in 5 words,voice_summary
740,help me capture the voice message essence,voice_summary
741,can you shorten this voice logically,voice_summary
742,summarize this for my notes,voice_summary
743,turn this long message into a short quote,voice_summary
744,whats the bullet point version of this voice,voice_summary
745,convert the voice note to a tweetlength summary,voice_summary
746,what would be the heading of this message,voice_summary
747,turn this clip into a titlelike summary,voice_summary
748,give me the big idea in short form,voice_summary
749,how would you summarize this audio fast,voice_summary
750,extract the oneliner from this audio,voice_summary
751,tell me what stands out from this voice,voice_summary
752,what is the headline idea of the voice,voice_summary
753,make this voice brief for my memory,voice_summary
754,just the main insight please,voice_summary
755,wrap up the message in one statement,voice_summary
756,put the audio into a key sentence,voice_summary
757,compress this audio into a phrase,voice_summary
758,what should i grasp from this voice,voice_summary
759,tell me the speakers main agenda,voice_summary
760,compress the core of the voice,voice_summary
761,whats the loudest message in this clip,voice_summary
762,express this voice content in short,voice_summary
763,give me an overview sentence,voice_summary
764,voice message i just need the summary,voice_summary
765,sum it up to the punchline,voice_summary
766,whats the summary of the discussion,voice_summary
767,summarize the opinion from the audio,voice_summary
768,voice file need a recap,voice_summary
769,short recap for the audio please,voice_summary
770,what would the summary report say,voice_summary
771,turn this into a short summary block,voice_summary
772,how can i note this message briefly,voice_summary
773,oneline conclusion for the audio,voice_summary
774,singleline feedback from this voice note,voice_summary
775,distill the speech into a key idea,voice_summary
776,tell me the outcome in brief,voice_summary
777,whats the short interpretation,voice_summary
778,explain this message in a short bullet,voice_summary
779,extract key takeaway in one sentence,voice_summary
780,summarize the important aspects,voice_summary
781,share the one thing this voice teaches,voice_summary
782,highlight the meaningful part of the voice,voice_summary
783,give me a voice summary i can remember,voice_summary
784,help me get the quick point,voice_summary
785,summarize the context of the clip,voice_summary
786,give a mini breakdown of this voice,voice_summary
787,singlesentence version of the message,voice_summary
788,compact summary of the voice content,voice_summary
789,tell me the voice notes essence,voice_summary
790,give a very short recap please,voice_summary
791,turn this clip into a headline,voice_summary
792,summarize the clip as if for a friend,voice_summary
793,write the moral of the audio,voice_summary
794,conclude this voice with a summary,voice_summary
795,give the most relevant insight from the audio,voice_summary
796,write the audios key lesson,voice_summary
797,what key takeaway does the speaker leave us with,voice_summary
798,give a onesentence output from the voice,voice_summary
799,whats the essence in one line,voice_summary
800,break it down into a summary tweet,voice_summary
801,onesentence wrapup of this message,voice_summary
802,voice summary like a whatsapp status,voice_summary
803,whats the bitesized thought here,voice_summary
804,make this recording short and snappy,voice_summary
805,how would you summarize this message to a kid,voice_summary
806,can you write a key point from the audio,voice_summary
807,summarize in layman language,voice_summary
808,give a commonsense summary of the clip,voice_summary
809,can i get a quick voice message overview,voice_summary
810,briefly what does this voice message say,voice_summary
811,extract summary from this voice memo,voice_summary
812,tell me the summary of what they said,voice_summary
813,summarize whats being discussed in the voice note,voice_summary
814,summarize this voice file please,voice_summary
815,whats the short info from this voice note,voice_summary
816,give me a summary idea from this audio,voice_summary
817,voice message in summary form,voice_summary
818,tell me the short version of this voice note,voice_summary
819,highlight what the speaker said,voice_summary
820,wrap up this voice recording,voice_summary
821,voice message essence please,voice_summary
822,speakers point in short,voice_summary
823,can i get a 1line summary of this voice,voice_summary
824,break down this voice note to core ideas,voice_summary
825,voice message summary required,voice_summary
826,whats the core idea of this voice clip,voice_summary
827,give me a 23 line gist of the voice,voice_summary
828,summarize whats spoken here,voice_summary
829,voice note main idea,voice_summary
830,condensed form of the voice message,voice_summary
831,shorten the voice message to a readable format,voice_summary
832,extract highlights from this voice,voice_summary
833,quick idea of what this voice contains,voice_summary
834,capture key takeaways from this voice,voice_summary
835,can i get the tldr of this audio,voice_summary
836,bullet point summary from this voice,voice_summary
837,whats the speakers main message,voice_summary
838,create a short digest from the voice note,voice_summary
839,list the core content of this voice,voice_summary
840,help me get the important parts from this audio,voice_summary
841,provide a short review of the voice message,voice_summary
842,i need a brief of the audio file,voice_summary
843,what is this voice message about briefly,voice_summary
844,summarize the recording for me,voice_summary
845,short version of speakers message please,voice_summary
846,summarize the message recorded,voice_summary
847,voice summary required,voice_summary
848,can you shorten this voice file to a few words,voice_summary
849,convert voice file to short note,voice_summary
850,whats said in the voice file in brief,voice_summary
851,i want a brief summary of the voice chat,voice_summary
852,voice message gist in a few lines,voice_summary
853,whats this audio clip about,voice_summary
854,give a wrapup of this voice message,voice_summary
855,summarize the voice log,voice_summary
856,whats the essential message here,voice_summary
857,voice memo short description,voice_summary
858,outline what this speaker said,voice_summary
859,make this voice message readable as a summary,voice_summary
860,explain the voice note in short,voice_summary
861,compress this voice message info,voice_summary
862,distill the content of the voice clip,voice_summary
863,voice summary in under 50 words,voice_summary
864,tell me the essence of the recording,voice_summary
865,main idea spoken in voice clip,voice_summary
866,recap of the voice message,voice_summary
867,shortened version of speakers words,voice_summary
868,speakers summary needed,voice_summary
869,whats in this voice clip in short,voice_summary
870,summarize the communication in this audio,voice_summary
871,voice overview required,voice_summary
872,give me a breakdown of the voice,voice_summary
873,can you draft a short summary of this voice,voice_summary
874,speakers message condensed,voice_summary
875,short report from this voice note,voice_summary
876,voice idea in simple terms,voice_summary
877,gist of the audio file,voice_summary
878,voice content recap,voice_summary
879,short version of whats recorded here,voice_summary
880,give me the key info from this voice,voice_summary
881,voice transcript summary,voice_summary
882,abstract of voice message,voice_summary
883,voice note takeaway,voice_summary
884,summarize whats being talked about in the voice,voice_summary
885,short form of the voice dialogue,voice_summary
886,wrap up the points discussed in the voice,voice_summary
887,give me a 3point summary,voice_summary
888,summarize message into readable lines,voice_summary
889,need a precise version of voice content,voice_summary
890,short content of voice file,voice_summary
891,condensed speaker voice,voice_summary
892,extract voice summary automatically,voice_summary
893,voice speech in short,voice_summary
894,recap the voice,voice_summary
895,make the audio message short and crisp,voice_summary
896,audio clip gist,voice_summary
897,shorten this voice chat,voice_summary
898,what was said in this voice briefly,voice_summary
899,extract a concise explanation from the voice,voice_summary
900,voice file give me the quick summary,voice_summary
901,compress and summarize audio,voice_summary
902,speakers key insights in short form,voice_summary
